['INFO ]2023-07-03 14:07:47,167(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button
['INFO ]2023-07-03 14:07:47,229(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user gets the alert message and navigates back
['INFO ]2023-07-03 14:07:47,517(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on Practice QuestionThe user clicks Register
['INFO ]2023-07-03 14:07:47,882(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on search the array and clear the try editor
['INFO ]2023-07-03 14:07:48,213(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends valid python code in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:50,552(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on submit button and capture the output in console
['INFO ]2023-07-03 14:07:50,756(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends invalid syntax in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:50,814(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button
['INFO ]2023-07-03 14:07:50,856(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user gets the alert message and navigates back
['INFO ]2023-07-03 14:07:52,222(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on max consecutive ones and clear the try editor
['INFO ]2023-07-03 14:07:52,398(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends valid python code in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:52,646(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button and capture the output in console
['INFO ]2023-07-03 14:07:52,857(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends invalid syntax in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:52,917(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button
['INFO ]2023-07-03 14:07:52,975(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user gets the alert message and navigates back
['INFO ]2023-07-03 14:07:54,268(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on Find numbers with even number of digits and clear the try editor
['INFO ]2023-07-03 14:07:54,410(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends valid python code in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:54,670(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button and capture the output in console
['INFO ]2023-07-03 14:07:54,934(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends invalid syntax in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:54,993(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button
['INFO ]2023-07-03 14:07:55,039(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user gets the alert message and navigates back
['INFO ]2023-07-03 14:07:56,392(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on the squares of sorted array and clear the try editor
['INFO ]2023-07-03 14:07:56,537(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends valid python code in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:56,794(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button and capture the output in console
['INFO ]2023-07-03 14:07:57,024(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends invalid syntax in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:57,089(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button
['INFO ]2023-07-03 14:07:57,143(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user gets the alert message and navigates back
['INFO ]2023-07-03 14:07:57,315(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:57,556(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enters a valid {string} and {string}
['INFO ]2023-07-03 14:07:57,917(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify and pagetitle is 
['INFO ]2023-07-03 14:07:58,556(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is in the Home page after logged in
